added_player_name,creator,faab_spent,points_as_starter,created,drops_named,points_as_starter_by_week,weeks_started,leg
Nyheim Hines,jakesmyth,54,3.6999999999999997,[1667370426604],[{'Mike Gesicki': 'jakesmyth'}],"[0.0, 1.4, 2.3]","[9, 10, 13]",[8]
Caleb Huntley,mattlatham,0,3.4,[1667588880352],[None],[3.4],[9],[9]
Mason Crosby,llatham65,6,3.0,[1665502919090],[None],[3.0],[6],[5]
Taylor Bertolet,mattlatham,0,3.0,[1666182219997],[{'Dustin Hopkins': 'mattlatham'}],[3.0],[7],[7]
San Francisco 49ers,lauramarkey,0,3.0,[1666818433657],[{'Green Bay Packers': 'lauramarkey'}],[3.0],[8],[8]
Pittsburgh Steelers,julesdefwatchesftbll,0,3.0,[1663090822043],[{'Denver Broncos': 'julesdefwatchesftbll'}],[3.0],[2],[1]
Ryan Tannehill,mattlatham,0,2.88,[1666182165991],[{'Mike Boone': 'mattlatham'}],[2.88],[7],[7]
Juwan Johnson,anahan,0,2.4,[1667146719962],[None],[2.4],[8],[8]
Foster Moreau,anahan,0,2.4,[1667753827289],[None],[2.4],[9],[9]
Khalil Herbert,petenotpetey,6,2.3,[1666704763183],[{'Kenny Pickett': 'petenotpetey'}],[2.3],[9],[7]
Kadarius Toney,mattlatham,0,2.2,[1666892330817],[None],[2.2],[9],[8]
Corey Davis,julesdefwatchesftbll,4,2.0,[1663560994383],[{'Austin Hooper': 'julesdefwatchesftbll'}],[2.0],[14],[2]
Tampa Bay Buccaneers,anahan,0,2.0,[1669569729893],[None],"[3.0, -1.0]","[13, 14]",[12]
Robbie Anderson,mattlatham,0,1.7,[1663156414012],[{'Mark Ingram': 'mattlatham'}],[1.7],[2],[2]
Will Dissly,alexludtke,0,1.7,[1665623675044],[None],[1.7],[6],[6]
Evan Engram,llatham65,5,1.3,[1667441010126],[{'Brock Wright': 'llatham65'}],[1.3],[9],[9]
Josh Reynolds,phan497,0,1.3,[1666264067929],[{'Michael Carter': 'phan497'}],[1.3],[7],[7]
Michael Badgley,phan497,0,1.0,[1667395367687],[{'Graham Gano': 'phan497'}],[1.0],[9],[9]
Cincinnati Bengals,alexludtke,0,1.0,[1668625453392],[{'Cleveland Browns': 'alexludtke'}],[1.0],[11],[11]
Pittsburgh Steelers,jakesmyth,0,1.0,[1666540519397],[None],[1.0],[7],[7]
Atlanta Falcons,carlogesualdo,0,1.0,[1668002928531],[{'Minnesota Vikings': 'carlogesualdo'}],[1.0],[10],[10]
